,Placa,Modelo,Marca,AnoFabr.,Combustível,Chassi,Cor,Potência,Cilindro,Aquisição,Conservação,Situação,Combustivel,Renavam,Tipo,Motor,Caixa,Local,Loc.Manutenção,Km Atual,Data Compra,Data Venda,Nota de compra,Valor de compra,Nota de venda,Valor de venda,Nº Apólice
224,HDM5836,UNO MILLE FIRE,FIAT,2004,Gasolina,9BD15822544590127,PRATA,055-CV-1.0,4,DOACAO CONTRATO 07886-D,Anti-econômico,Ativa,Gasolina,830911359,PAS/AUTOMOVEL,,,,,84548,22/12/2011,,0,"18693,8",0,0,
225,HEA2488,PARATI TRACKFIELD 1.6,VOLKSWAGEN,2006,,9BWDB05W06T152012,BRANCA,100CV,4,DOACAO-CONTRATO-05194D,Anti-econômico,Ativa,,883212838,PAS/AUTOMOVEL,"1,6","1,6",,,226460,16/05/2006,,0,"37651,46",0,0,
226,HEI4116,REBOQUE,REBOQUE,2006,Outros,9A9BC05116TDH8117,BRANCA,,,DOACAO CONTRATO 08607-D,Bom,Ativa,Outros,887558593,CAR/REBOQUE/C.ABERTA,,,,,0,15/05/2013,,0,2750,0,0,
227,HEJ4424,KOMBI FURGAO,VOLKSWAGEN,2006,Flex,9BWFF07XX6PO16384,BRANCA,85 CV,4,DOACAO - CONTRATO NUM.05300-D,Ótimo,Ativa,Flex,890703310,CAR/CAMION./FURGAO,1.4 FLEX,"1,4",,,44302,20/09/2006,,0,40397,0,0,
228,HEJ4883,REBOQUE,REBOQUE,2006,Outros,9A9BC26866MDH8100,CINZA,,,DOACAO CONTRATO 07887-D,Ótimo,Ativa,Outros,890838763,CAR/REBOQUE/C.ABERTA,,,,,0,18/05/2012,,0,5100,0,0,
229,HEJ9621,SCENIC EXP 1616V,RENAULT,2006,Flex,93YJA15256J755234,BRANCA,110CV,4,DOACAO CONTRATO Num. 05436-D,Ótimo,Ativa,Flex,892651725,PAS/AUTOMOVEL,1.6 - 16V,,,,121416,11/07/2006,,0,51111,0,0,
230,HFS8588,PICK-UP L200 OUTDOOR,MITSUBISHI,2007,Diesel,93XHNK7407C730041,BRANCA,121 CV,4,DOACAO,Ótimo,Ativa,Diesel,913122122,MIS/CAMION./CAB. DUPLA,4056-CG7104,,,,203133,12/05/2014,,0,47000,0,0,
231,HGO3595,PARATI TRACKFIELD 1.6,VOLKSWAGEN,2007,Flex,9BWDB05W78T039189,BRANCA,,,CONRATO DOACAO FUNDEP 05559-D,Ótimo,Ativa,Flex,926970763,PAS/AUTOMOVEL,"1,6",,,,296020,09/05/2007,,0,44000,0,0,
232,HGO3601,PARATI TRACKFIELD 1.6,VOLKSWAGEN,2007,Flex,9BWDB05W08T039079,BRANCA,,,DOACAO CONTRATO 05559-D,Ótimo,Ativa,Flex,926971484,PAS/AUTOMOVEL,"1,6",,,,334092,09/05/2007,,0,44000,0,0,
233,HIO8259,UNO MILLE FIRE,FIAT,2008,Gasolina,9BD15822786119895,PRATA,066 CV   1.0,4,DOACAO CONTRATO 08863-D,Bom,Ativa,Gasolina,964535149,PAS/AUTOMOVEL,,,,,64911,14/02/2014,,0,27750,0,0,
234,HIO8310,UNO MILLE FIRE,FIAT,2008,Flex,9BD15822786119795,PRATA,66CV,4,DOACAO CONTRATO 08671-D,Ótimo,Ativa,Flex,964556472,PAS/AUTOMOVEL,,,,,88380,14/08/2013,,0,"26055,3",0,0,
235,HIO8319,STRADA TREK FLEX,FIAT,2008,Flex,9BD27801D87070549,PRATA,114CV,4,DOACAO CONTRATO 08670-D,Ótimo,Ativa,Flex,964558092,PAS/AUTOMOVEL,,,,,71285,14/08/2013,,0,31818,0,0,
236,HJJ6963,MERIVA JOY,CHEVROLET,2008,Flex,9BGXL75G08C188437,BRANCA,,,DOACAO CONTRATO-06634-D,Ótimo,Ativa,Flex,979432529,PAS/AUTOMOVEL,,,,,184473,07/08/2009,,0,47900,0,0,
237,HJU0691,TRACKER 2.0,G. MOTORS,2008,Gasolina,8AG116DJ09R702379,PRATA,,,DOACAO CONTRATO-6563-D,Ótimo,Ativa,Gasolina,991445074,MIS/UTILITARIO/JIPE,,,,,175026,19/01/2009,,0,70000,0,0,
238,HKC6962,LINEA,FIAT,2009,Flex,9BD11055691505213,BRANCA,132 CV,4,DOACAO CONT.009173-D,Bom,Ativa,Flex,123169810,PAS/AUTOMOVEL,,,,,200274,23/09/2014,,0,66500,0,0,
239,HKC7044,REBOQUE,REBOQUE,2009,Outros,9A9CP30129CCE3001,CINZA,,,DOACAO  CONTRATO 07038-D,Ótimo,Ativa,Outros,123208025,CAR/REBOQUE/C.ABERTA,,,,,0,15/06/2010,,0,4600,0,0,
240,HKT2009,CAVALO MEC. AXOR 1933 S,MERCEDES BENZ,2008,Diesel,9BM9582078B605611,BRANCA,326 CV,6,DOACAO TERMO 6306-2011,Ótimo,Ativa,Diesel,119059002,CAR/CARRETA,,,,,51138,21/06/2012,,0,258783,0,0,
241,HKT4123,WEEKEND ADV. LOCKER,FIAT,2009,Outros,9BD17309TA4271287,BRANCA,114 CV,4,DOACAO CONTRATO-06770-D,Ótimo,Ativa,Outros,148366031,PAS/AUTOMOVEL,"1,8",,,,319834,26/08/2009,,0,59000,0,0,
242,HLF3224,KOMBI - STANDARD,VOLKSWAGEN,2010,Flex,9BWMF07X6BP003388,BRANCA,1.4 80 CV,4,COMPRA,Ótimo,Ativa,Flex,214994376,MIS/CAMION./C.FECHADA,,,,,99711,14/06/2010,,570783,44260,0,0,
243,HLP3585,WEEKEND ADV. LOCKER,FIAT,2009,Flex,9BD17309TA4288570,BRANCA,"1,8",4,DOACAO CONTRATO 06771-D,Ótimo,Ativa,Flex,158683803,PAS/AUTOMOVEL,X7*0500882*,,,,378718,22/10/2009,,552960,59000,0,0,
244,HLP4328,FRONTIER  SE 25 X2 09/09,NISSAN,2009,Diesel,94DVCGD409J276875,PRATA,144 CV,4,DOACAO CONTRATO 06772-D,Bom,Ativa,Diesel,158812581,MIS/CAMION./CAB. DUPLA,,,,,140120,19/11/2009,16/02/2017,0,101990,0,0,
245,HMB8801,UNO MILLE WAY ECON,FIAT,2009,,9BD15804AA6358121,BRANCA,066 CV,4,DOACAO CONTRATO 08186-D,Ótimo,Ativa,,168999587,PAS/AUTOMOVEL,,,,,75396,17/10/2012,,0,25900,0,0,
246,HMJ1867,UNO MILLE ECONOMY,FIAT,2009,Flex,9BD15822AA6396482,PRATA,66 CV,4,DOACAO CONTRATO 08670 D,Ótimo,Ativa,Flex,181079984,PAS/AUTOMOVEL,,,,,94943,14/08/2013,,0,26176,0,0,
247,HMR4787,STRADA FIRE FLEX,FIAT,2010,Gasolina,9BD27803MA7232425,PRATA,086 CV,4,DOACAO CONTRATO 009899-D,Ótimo,Ativa,Gasolina,195126181,PAS/AUTOMOVEL,310A2011*9345002*,,,,88024,05/03/2016,,0,31818,0,0,
248,HMR4789,STRADA FIRE FLEX,FIAT,2010,Flex,9BD27803MA7234148,PRATA,86 CV,4,DOACAO CONTRATO 08670 D,Ótimo,Ativa,Flex,195127595,PAS/AUTOMOVEL,310A2011*9352022*,,,,73376,14/08/2013,,0,31818,0,0,
249,HMR4791,STRADA FIRE FLEX,FIAT,2010,Flex,9BD27803MA7234146,PRATA,086 CV,4,DOACAO CONTRATO 08881-D,Ótimo,Ativa,Flex,195126750,PAS/AUTOMOVEL,310A2011*9352022*,,,,91150,15/04/2014,,0,31818,0,0,
250,HNX0284,CAMINHAO BAU 815 N,FORD,2011,Diesel,9BFVCE1N5CBB05347,BRANCA,150 CV,4,COMPRA,Ótimo,Ativa,Diesel,460202189,CAR/CAMINHAO/C.FECHADA,,,,,133746,15/05/2012,,7,145500,0,0,
251,JKH9243,L200 GL,MITSUBISHI,2006,Diesel,93XJNK3407C646213,BRANCA,100CV,4,DOAÇAO-TERMO Nr.2277/06,Ótimo,Ativa,Diesel,898686350,MIS/CAMINHONETE/CABINE DUPLA,"1,4",,,,278971,26/02/2007,,0,68580,0,0,JKH9243
252,JKH9283,L200 GL,MITSUBISHI,2006,Diesel,93XJNK3407C646226,BRANCA,100CV,4,DOACAO-TERMO Nr.2277/06,Ótimo,Ativa,Diesel,898681235,MIS/CAMINHONETE/CABINE DUPLA,"1,4",,,,247098,26/02/2007,,0,68580,0,0,JKH9283
253,JKH9303,L200 GL,MITSUBISHI,2006,Diesel,93XJNK3407C646223,BRANCA,100CV,4,DOACAO-TERMO Nr. 2277/06,Anti-econômico,Ativa,Diesel,898679532,MIS/CAMINHONETE/CABINE DUPLA,"1,4",,,,253314,26/02/2007,,0,68580,0,0,JKH9303
254,JKH9313,L200 GL,MITSUBISHI,2006,Diesel,93XJNK3407C646215,BRANCA,100CV,4,DOACAO TERMO Nr..2277/06,Ótimo,Ativa,Diesel,898674930,MIS/CAMINHONETE/CABINE DUPLA,"1,4",,,,245489,26/02/2007,,0,68580,0,0,JKH9313
255,JKH9333,L200 GL,MITSUBISHI,2006,Diesel,93XJNK3407C646211,BRANCA,100CV,4,DOACAO-TERMO2277/2006,Ótimo,Ativa,Diesel,898677017,MIS/CAMINHONETE/CABINE DUPLA,"1,4",,,,322830,26/02/2007,,0,68580,0,0,JKH9333
256,NXY0160,VAN TRANSIT 350 L CIRILO,FORD,2011,Diesel,WF0DXXTBFBTT25315,BRANCA,116 CV,4,DOACAO CONTRATO 010086-D,Bom,Ativa,Diesel,456208569,PAS/MICROONIBUS,XJFA8TT25315,,,,39902,21/02/2017,,0,95000,0,0,
257,NYA5536,CARRETA MUSEU ITINERANTE SRF2ECL,LINSHALM,2009,Outros,9A908RCS291CX2074,PRATA,,,DOACAO TERMO 6306-2011,Ótimo,Ativa,Outros,463161513,CAR/S.REBOQUE/C.FECHADA,,,,,0,25/06/2012,,0,180000,0,0,
258,NYB3752,TANQUE CARGO 1722 CN,FORD,2011,Diesel,9BFYEAXV8CBS98646,BRANCA,220 CV,4,COMPRA,Ótimo,Ativa,Diesel,464444306,CAR/CAMINHAO TANQUE,3637857,,,,5016,17/07/2012,,630,217900,0,0,
259,OLR4740,VOYAGE 1.6 COMFORTL,VOLKSWAGEN,2012,Gasolina,9BWDB45UXDT092792,BRANCA,"1,6",4,DOACAO CONTRATO 08298-D,Ótimo,Ativa,Gasolina,474140059,PAS/AUTOMOVEL,CCR N52357,,,,206738,17/12/2012,,0,43215,0,0,
260,OPF1840,CAMINHAO VERTIS 90V18,IVECO,2012,Diesel,93ZA90D00D8560030,BRANCA,177CV,4,COMPRA,Ótimo,Ativa,Diesel,507416848,CAR/CAMINHAO/C.ABERTA,F4AE3481E*6096919*,,,,37122,02/08/2013,,1587,145280,0,0,
261,OPF1841,CAMINHAO VERTIS 90V18,IVECO,2012,Diesel,93ZA90D00D8560154,BRANCA,177CV,4,COMPRA,Ótimo,Ativa,Diesel,507186460,CAR/CAMINHAO/C.ABERTA,F4AE3481E*610222*,,,,74806,02/08/2013,,1586,145280,0,0,
262,OPF6541,PICK-UP S10 2.2 S,CHEVROLET,2012,Gasolina,9BG148DH0DC442931,,,,,Ótimo,Ativa,Gasolina,507825977,CAR/CAMION./C.ABERTA,,,,,55852,15/01/2019,,0,"100023,18",0,0,
263,PAC6254,UNO VIVACE 1.0,FIAT,2014,Flex,9BD195152F0652925,BRANCA,1,4,DOACAO CONTRATO 018/2015,Ótimo,Ativa,Flex,1038011326,PAS/AUTOMOVEL,,,,,26516,16/11/2015,,0,"31992,91",0,0,
264,PAC6260,STRADA TREK FLEX,FIAT,2014,Flex,9BD578354F7920121,BRANCA,"1,6",4,DOACAO CONTRATO 018/2015,Ótimo,Ativa,Flex,1038075324,ESP/CAMIONETE/AB.CAB.DUPLA,,,,,26475,16/11/2015,,0,49634,0,0,
265,QOM8490,DOBLO EX,FIAT,2018,Gasolina,9BD11960DJ1145868,BRANCA,,,,Ótimo,Ativa,Gasolina,1154376033,MIS/CAMION./C.FECHADA,,,,,13493,15/01/2019,,0,"73981,6",0,0,
266,QOW0028,MARCOPOLO VOLARE W9,AGRALE,2018,,93PB88S31JC059510,VERDE,162CV,,,Ótimo,Ativa,,1160526572,PAS/ONIBUS,,,,,1232,25/10/2019,,0,400000,0,0,
267,RFA7D18,DRC 4X2,VOLKSWAGEN,2020,Diesel,9535h5TB0MR104638,BRANCA,,,,Ótimo,Ativa,Diesel,1228041730,CAMINHAO,,,,,6787,17/04/2020,,4871,215000,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL 267,,,,,,,,,,,,,,,,,,,,,,,,,,
,RELATÓRIO DE VEÍCULOS DA FROTA,,,,,,,,,,,,,,,,,,,,,,,,,,
,Da depart. :   até :,,,,,,,,,,,,,,,,,,,,,,,,,,
