,Placa,Modelo,Marca,AnoFabr.,Combustível,Chassi,Cor,Potência,Cilindro,Aquisição,Conservação,Situação,Combustivel,Renavam,Tipo,Motor,Caixa,Local,Loc.Manutenção,Km Atual,Data Compra,Data Venda,Nota de compra,Valor de compra,Nota de venda,Valor de venda,Nº Apólice
156,GMF7229,KOMBI STANDARD,VOLKSWAGEN,2012,Gasolina,9BWMF07X0DP015359,BRANCA,80 CV,4,COMPRA,Ótimo,Ativa,Gasolina,508407931,MIS/CAMION./C.FECHADA,BTJ 809434,,,,77203,02/07/2013,,468819,46200,0,0,
157,GMF7230,KOMBI STANDARD,VOLKSWAGEN,2012,Flex,9BWMF07X7DP015360,BRANCA,80 CV,4,COMPRA,Ótimo,Ativa,Flex,508602700,MIS/CAMION./C.FECHADA,BTJ 809399,,,,185532,02/07/2013,,468820,46200,0,0,
158,GMF7232,SPACECROSS GII,VOLKSWAGEN,2012,Gasolina,8AWPB45Z0DA516293,BRANCA,104CV,4,COMPRA,Ótimo,Ativa,Gasolina,507980735,PAS/AUTOMOVEL,CCR283073,,,,218476,02/07/2013,,259985,"55879,76",0,0,
159,GMF7237,SPACEFOX TREND GII,VOLKSWAGEN,2013,Flex,9BWPB45Z7D4167872,BRANCA,104 CV,4,COMPRA,Ótimo,Ativa,Flex,509556213,PAS/AUTOMOVEL,CCR A99915,,,,175339,15/02/2013,,728154,"46988,9",0,0,
160,GMF7239,SPACEFOX TREND GII,VOLKSWAGEN,2013,Flex,9BWPB45Z3D4165410,BRANCA,104 CV,4,COMPRA,Ótimo,Ativa,Flex,509559387,PAS/AUTOMOVEL,CCR Q03708,,,,92396,15/02/2013,,728152,"46988,9",0,0,
161,GMF7240,SPACEFOX TREND GII,VOLKSWAGEN,2013,Flex,9BWPB45Z3D4165200,BRANCA,104 CV,4,COMPRA,Ótimo,Ativa,Flex,509550797,PAS/AUTOMOVEL,CCR P97100,,,,110114,15/02/2013,,728151,"46988,9",0,0,
162,GMF7241,SPACEFOX TREND GII,VOLKSWAGEN,2013,Gasolina,9BWPB45ZXD4165548,BRANCA,104 CV,4,COMPRA,Ótimo,Ativa,Gasolina,509553966,PAS/AUTOMOVEL,CCRQ03720,,,,97598,15/02/2013,,728150,"46988,9",0,0,
163,GMF7279,CAMINHAO 10000,AGRALE,2013,Diesel,9BYC79A2ADC000148,BRANCA,165CV,4,COMPRA,Ótimo,Ativa,Diesel,526878290,CAR/CAMINHAO/C.ABERTA,U1A002954,,,,72636,22/03/2013,,34799,147800,0,0,
164,GMF7280,CAMINHAO 10000,AGRALE,2013,Diesel,9BYC79A2ADC000147,BRANCA,165CV,4,COMPRA,Ótimo,Ativa,Diesel,526876085,CAR/CAMINHAO/C.ABERTA,U1A002872,,,,108785,22/03/2013,,34798,147800,0,0,
165,GMF7309,JUMPER M33M 23S,CITROEN,2013,Gasolina,935ZBWMMBD2111026,,127CV,,DOAÇÃO,Ótimo,Ativa,Gasolina,529887339,PAS/AUTOMOVEL,,,,,0,18/11/2021,,,76000,0,0,
166,GMF7576,SPACEFOX TREND GII,VOLKSWAGEN,2013,,9BWPB45Z2E4042067,BRANCA,104 CV,4,COMPRA,Ótimo,Ativa,,585718750,PAS/AUTOMOVEL,CCR B64563,,,,249111,22/10/2013,,830057,"46988,9",0,0,
167,GMF7682,AMAROK CD 4X4 SE,VOLKSWAGEN,2013,Diesel,WV1DD42H8EA013375,BRANCA,140 CV,4,COMPRA,Ótimo,Ativa,Diesel,996602283,ESP/CAMIONETE/AB.CAB.DUPLA,CNF 023556,,,,67627,18/03/2014,,333958,102000,0,0,
168,GMF7685,VAN SPRINTER 515CD,MERCEDES BENZ,2013,Diesel,8AC906657EE090205,BRANCA,146 CV,4,COMPRA,Ótimo,Ativa,Diesel,997149639,PAS/MICROONIBUS,,,,,114739,19/03/2014,,56819,165000,0,0,
169,GMF7723,FLUENCE,RENAULT,2014,Gasolina,8A1LZBW2TEL265424,PRETA,143CV,,DOAÇÃO TRT,Ótimo,Ativa,Gasolina,998886165,PAS/AUTOMOVEL,,,,,63855,11/10/2021,,,47000,0,0,
170,GMF7725,FLUENCE,RENAULT,2014,Gasolina,8A1LZBW2TEL265496,PRETA,143CV,,DOAÇÃO TRT,Ótimo,Ativa,Gasolina,998870587,PAS/AUTOMOVEL,,,,,65588,11/10/2021,,,47000,0,0,
171,GMF7749,FLUENCE,RENAULT,2014,Gasolina,1002926073,PRETA,143CV,,DOAÇÃO TRT,Ótimo,Ativa,Gasolina,1002926073,PAS/AUTOMOVEL,,,,,61830,11/10/2021,,,47000,0,0,
172,GMF7750,AMAROK CD 4X4 SE,VOLKSWAGEN,2013,Diesel,WV1DD42H9EA028791,BRANCA,140 CV,4,COMPRA,Ótimo,Ativa,Diesel,1003112800,ESP/CAMIONETE/AB.CAB.DUPLA,CNF 027563,,,,199674,05/08/2014,,340577,102000,0,0,
173,GMF7751,SPACECROSS GII,VOLKSWAGEN,2013,Flex,8AWPB45Z5EA508742,BRANCA,104 CV,4,COMPRA,Ótimo,Ativa,Flex,1003129711,PAS/AUTOMOVEL,CCR 293283,,,,144204,05/08/2014,,339757,57000,0,0,
174,GMF7776,SPACECROSS GII,VOLKSWAGEN,2013,Flex,8AWPB45Z5EA508689,BRANCA,104 CV,4,COMPRA,Ótimo,Ativa,Flex,1004173510,PAS/AUTOMOVEL,CCR 293150,,,,102845,13/05/2014,,0,57000,0,0,
175,GMF7777,MARCOPOLO VOLARE W9,MARCOPOLO,2014,Diesel,93PB40N31EC052334,BRANCA,165 CV,4,COMPRA,Ótimo,Ativa,Diesel,1005675535,PAS/ONIBUS,U1A005806,,,,110054,13/05/2014,,118219,231000,0,0,
176,GMF7778,MARCOPOLO VOLARE W9,MARCOPOLO,2014,Diesel,93PB40N31EC052335,BRANCA,165 CV,4,COMPRA,Ótimo,Ativa,Diesel,1005672986,PAS/ONIBUS,U1A005807,,,,115351,13/05/2014,,118220,231000,0,0,
177,GMF7791,CAMINHAO 10000,AGRALE,2014,Diesel,9BYC79A2AEC000340,BRANCA,165 CV,4,COMPRA,Ótimo,Ativa,Diesel,1007217488,CAR/CAMINHAO/C.ABERTA,U1A005900,,,,71420,26/05/2014,,51052,170000,0,0,
